record_id,subject_id,t_center,original_index,pm_anomaly_score,pm_anomaly_score_max,feature_anomaly_score,combined_anomaly_score,anomaly_threshold,is_anomaly,target_attention,target_engagement,target_excitement,target_stress,target_relaxation,target_interest,target_focus
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,180.0,2856,0.5780320249275505,1.6667883472394287,175.66309,26.147197322544315,20.37091060104527,True,0.489339,0.578324,0.590908,0.436533,0.22156,0.45915,0.453241
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,190.0,2857,2.8506336204883165,6.233557415408986,171.84767,29.358495513137726,20.37091060104527,True,0.254319,0.766373,0.992834,0.878599,0.641771,0.917374,0.521398
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,240.0,2862,1.1107228282655859,3.458028004807956,286.87228,42.95948137499503,20.37091060104527,True,0.574031,0.611872,0.775458,0.652095,0.478087,0.610606,0.574479
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,270.0,2865,0.8865904348079449,2.5417770190021916,203.41104,30.06453799045055,20.37091060104527,True,0.74668,0.715042,0.385344,0.464581,0.254949,0.47753,0.654759
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,350.0,2873,0.61313327218171,1.5214429749087393,176.34174,26.1768878454781,20.37091060104527,True,0.680749,0.574871,0.459706,0.475421,0.174592,0.465692,0.476943
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,360.0,2874,2.187164333845403,7.195405354322724,158.9052,26.07904417038308,20.37091060104527,True,0.693474,0.661318,0.975137,0.957093,0.696527,0.692589,0.49267
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,410.0,2879,0.5965578492639979,1.5043850700071106,162.16116,24.097219857475295,20.37091060104527,True,0.48225,0.467947,0.117111,0.327474,0.171381,0.431383,0.411524
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,420.0,2880,0.7465918878546729,2.5211083825966387,155.47836,22.795835863934983,20.37091060104527,True,0.438765,0.582885,0.49143,0.57283,0.475151,0.487399,0.358079
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,770.0,2915,0.6389207881635066,1.4898754255462432,173.86433,25.755173852221148,20.37091060104527,True,0.288606,0.492394,0.577892,0.491479,0.535661,0.578643,0.49459
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,800.0,2918,0.7366801615490546,2.4804368953484297,152.14171,22.318730219633302,20.37091060104527,True,0.351072,0.488484,0.507985,0.351327,0.270311,0.574894,0.599328
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,810.0,2919,1.5395981645240078,4.404742529644714,274.68292,42.01585281339411,20.37091060104527,True,0.224952,0.641763,0.94306,0.729354,0.592342,0.768899,0.606693
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,820.0,2920,0.8309454752775267,3.8293174351986385,421.94467,62.52055304278691,20.37091060104527,True,0.273769,0.651598,0.823457,0.682395,0.468369,0.688968,0.689023
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,880.0,2926,0.9450660197263515,3.9016392245770493,190.41208,28.246263968885742,20.37091060104527,True,0.437767,0.605239,0.913442,0.688297,0.418562,0.64885,0.749921
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,970.0,2935,1.0444412525909963,3.63895127109517,148.07047,22.138147201913817,20.37091060104527,True,0.424684,0.546254,0.821731,0.61118,0.373043,0.53744,0.743769
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,980.0,2936,0.9380089913345283,3.2925615884212207,204.68237,30.358680092949154,20.37091060104527,True,0.432605,0.526712,0.952363,0.627784,0.505028,0.812751,0.716978
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1120.0,2950,1.0623821736814378,3.697885342731097,267.63226,39.99363187903752,20.37091060104527,True,0.519291,0.447041,0.746993,0.595353,0.593508,0.699514,0.591516
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1140.0,2952,1.0817647065805598,3.3867477864388937,479.76917,71.64902720137455,20.37091060104527,True,0.591421,0.659987,0.698165,0.646278,0.697059,0.581138,0.593027
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1160.0,2954,1.1786399115073836,3.8787859312543223,640.76465,95.84027616237739,20.37091060104527,True,0.501757,0.74686,0.997343,0.686432,0.697059,0.840095,0.65434
Old_EEG__2182c1cd__day1__part2__2023.11.28T13.51.38p03.00,2182c1cd,1320.0,2970,1.1445914733596767,3.288177385814015,555.55145,83.07116832408511,20.37091060104527,True,0.516164,0.616958,0.971147,0.556103,0.697059,0.81232,0.418155
