model_family,run_dir,target,mae_mean,rmse_mean,r2_mean,pearson_mean,spearman_mean
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0846515036671555,0.1070528706426776,0.3562175778534032,0.60037289547565,0.5264734492672061
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0841559434762531,0.106800799578785,0.3592457613071385,0.603159009965167,0.5321679368541083
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0797813838958425,0.1026417165885344,0.4081791072333192,0.6424806514376039,0.5654950113575288
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1477821974113774,0.1939135000114981,0.2870151760110985,0.554729702137156,0.5188357574479058
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1487538548131887,0.1946249784287116,0.2817736232596611,0.5525415877070702,0.5084409940374427
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1534648452671666,0.1992787726792115,0.2470150860716992,0.5166133643723668,0.4645722023989651
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0791766457306049,0.101192176495854,0.175866294500581,0.4218705453134919,0.3986632017991834
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0787327336728913,0.1007168879589811,0.1835898444351892,0.4309617283411307,0.4054920401497817
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0803881593208039,0.1025679654296822,0.1533044371747385,0.3941038046190777,0.3719344800637355
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0684738855586729,0.0907475136266363,0.1808885121517809,0.4354128640966946,0.3927851898247957
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0687730095412009,0.0911629500132832,0.1733716642896147,0.4278655441458725,0.3992865839956452
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0691496995484004,0.0903977680900659,0.1871901400426132,0.4523403168817019,0.4293601643040212
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1078350292837542,0.1344225717149905,0.2616305425345875,0.5316428550671696,0.5232090573940864
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1072899208543856,0.1339252160191557,0.2670842826562527,0.5343337839612263,0.5267347766661054
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1112031246337991,0.1361517383307286,0.2425120904912306,0.5370002243136187,0.5312003333790786
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0614984158632038,0.0879495264587895,0.2129406361026389,0.4946732313330104,0.3511687697515852
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0612878418344349,0.0873700789710815,0.2232774107461183,0.506794115689631,0.3860666954878629
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0633629158876224,0.0893648890796655,0.1874046727690481,0.4759500193167893,0.3270813625255904
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0924109642703325,0.1177789782119435,0.0172706684496962,0.3225974731804581,0.3190867916964043
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0931050188898375,0.1186797273759364,0.0021817702101902,0.3215336015196486,0.3163626889732527
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0946286480792001,0.1200943384976082,-0.0217471210944726,0.2540708202941782,0.2505665769722231
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0853520885730349,0.110760356590535,0.2543858993135579,0.5672242373187167,0.5013843857729317
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0852987368967207,0.1108699441989909,0.2529097305633804,0.5658656423966965,0.509236309652813
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0845839962655283,0.1095902644661066,0.2700562875808514,0.5519743315313133,0.4672538111454284
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1226204931099529,0.159030452181183,0.4096102972541534,0.6502869631042032,0.5565869034525253
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1226805223755887,0.1595723861482013,0.4055796555016644,0.6446387351444992,0.5477965154206191
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1341538493055098,0.1694205748548217,0.3299449440536391,0.611862085333472,0.537136235511963
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0888926421489808,0.1143545494330272,0.0235616282547554,0.301408983596173,0.2586504160504841
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0893841282830749,0.1155373311320576,0.0032583497141073,0.2883570001591858,0.2517272601387595
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0841495292595747,0.1123533937179586,0.0574371165439698,0.3441722723198991,0.3169478738837442
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0737261284728661,0.1035790519444556,0.1261297242694514,0.4200573626382898,0.2972897195473855
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0750704649383001,0.1055433361607395,0.0926711091825701,0.4053679788040811,0.2842665600104194
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0702555089507313,0.1023600386789646,0.1465777002545114,0.4309440268055521,0.3301923630010133
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.1147921814486834,0.1482456466076414,0.2968353464388653,0.5646771276642576,0.5177176098943748
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.116701035752074,0.1497667110807168,0.2823317725972667,0.5543754113329542,0.5060944322764783
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.110240609182891,0.1435140753691712,0.3410049858605003,0.5899394780326876,0.5358859821992796
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0983713727500069,0.1469231951927581,-0.0344380260437389,0.3338096389855279,0.3076315448999709
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0986878999981832,0.1477737680506225,-0.0464499044834989,0.339152900619486,0.3100458858427556
Classical baseline,20260604_163602_multi_pm_groupkfold_full_pow_plus_eeg_raw_pow,,0.0984117402020637,0.1486496250011894,-0.0588913087678544,0.3427031026308293,0.3642797346428095
