feature,real_mean,synthetic_mean,real_std,synthetic_std,mean_abs_diff,std_abs_diff
EEG.F8__zero_crossing_rate,0.041815996,0.039944783,0.028140955,0.019004464,0.0018712133,0.0091364905
EEG.F8__line_length,12337.173,12277.983,13567.011,12790.102,59.189453,776.9092
EEG.F8__mean_abs_diff,4.972352,4.9388885,5.558253,5.691721,0.033463478,0.13346815
EEG.AF4__mean,4415.4326,4419.4707,99.923904,90.84927,4.038086,9.074631
EEG.AF4__std,89.046165,81.99151,171.42667,139.7377,7.054657,31.688965
EEG.AF4__min,4183.7944,4207.3843,449.9608,362.80777,23.589844,87.153015
EEG.AF4__max,4713.512,4718.193,421.29135,315.8333,4.680664,105.45804
EEG.AF4__median,4413.627,4416.6064,130.88033,118.69354,2.9794922,12.186783
EEG.AF4__robust_iqr,81.12069,76.76282,178.69847,113.24188,4.357872,65.45659
EEG.AF4__skew,0.8259746,0.8606659,1.3130437,0.91355205,0.034691334,0.39949167
EEG.AF4__kurt,4.2920527,3.6504345,5.722396,3.9702966,0.64161825,1.7520993
EEG.AF4__signal_energy,1.9543802e+07,1.9570666e+07,1.134832e+06,1.1562701e+06,26864.0,21438.125
EEG.AF4__zero_crossing_rate,0.048333112,0.04636243,0.032332394,0.022232022,0.0019706823,0.010100372
EEG.AF4__line_length,11513.428,11802.66,12918.591,12527.082,289.23242,391.5088
EEG.AF4__mean_abs_diff,4.634472,4.8589582,5.2309422,5.6832933,0.22448635,0.4523511
