target_name,validation,model,folds,n_test_total,elapsed_s_total,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std,r2_min,r2_max,pearson_mean,pearson_std,pearson_min,pearson_max,spearman_mean,spearman_std,spearman_min,spearman_max
relaxation,groupkfold_subject_fold_2,lgbm_reg,1,9108,9.623917818069458,0.10569258465795649,0.0,0.10569258465795649,0.10569258465795649,0.13330809255297188,0.0,0.13330809255297188,0.13330809255297188,0.19268988534671583,0.0,0.19268988534671583,0.19268988534671583,0.4571421899009861,0.0,0.4571421899009861,0.4571421899009861,0.42090265355439577,0.0,0.42090265355439577,0.42090265355439577
relaxation,groupkfold_subject_fold_2,rf_reg,1,9108,465.9948296546936,0.10735642288028528,0.0,0.10735642288028528,0.10735642288028528,0.1341588686372847,0.0,0.1341588686372847,0.1341588686372847,0.18235245058574268,0.0,0.18235245058574268,0.18235245058574268,0.4307511615733474,0.0,0.4307511615733474,0.4307511615733474,0.3792255768172929,0.0,0.3792255768172929,0.3792255768172929
stress,groupkfold_subject_fold_2,hgb_reg,1,8986,11.466876983642578,0.071765681725424,0.0,0.071765681725424,0.071765681725424,0.10523267660896067,0.0,0.10523267660896067,0.10523267660896067,0.18210000496130452,0.0,0.18210000496130452,0.18210000496130452,0.44514786422659397,0.0,0.44514786422659397,0.44514786422659397,0.3782896528695185,0.0,0.3782896528695185,0.3782896528695185
stress,groupkfold_subject_fold_2,lgbm_reg,1,8986,9.248192548751831,0.07258697711279673,0.0,0.07258697711279673,0.07258697711279673,0.10481878810889653,0.0,0.10481878810889653,0.10481878810889653,0.18852108444247606,0.0,0.18852108444247606,0.18852108444247606,0.4470820849629674,0.0,0.4470820849629674,0.4470820849629674,0.36989852444989246,0.0,0.36989852444989246,0.36989852444989246
stress,groupkfold_subject_fold_2,rf_reg,1,8986,645.8494265079498,0.07357622802887205,0.0,0.07357622802887205,0.07357622802887205,0.10676020133893364,0.0,0.10676020133893364,0.10676020133893364,0.15818290643849064,0.0,0.15818290643849064,0.15818290643849064,0.4105717783371157,0.0,0.4105717783371157,0.4105717783371157,0.3266536722251774,0.0,0.3266536722251774,0.3266536722251774
attention,groupkfold_subject_fold_3,hgb_reg,1,8660,15.641032934188843,0.10170531533287744,0.0,0.10170531533287744,0.10170531533287744,0.12815559589771322,0.0,0.12815559589771322,0.12815559589771322,0.12946892550173617,0.0,0.12946892550173617,0.12946892550173617,0.40099916481095177,0.0,0.40099916481095177,0.40099916481095177,0.4000331028614878,0.0,0.4000331028614878,0.4000331028614878
attention,groupkfold_subject_fold_3,lgbm_reg,1,8660,15.404003620147705,0.10103512593416356,0.0,0.10103512593416356,0.10103512593416356,0.12758241946669147,0.0,0.12758241946669147,0.12758241946669147,0.13723841965303984,0.0,0.13723841965303984,0.13723841965303984,0.41439658247847005,0.0,0.41439658247847005,0.41439658247847005,0.41240470689681225,0.0,0.41240470689681225,0.41240470689681225
attention,groupkfold_subject_fold_3,rf_reg,1,8660,445.23815846443176,0.09868685032721193,0.0,0.09868685032721193,0.09868685032721193,0.12611838496457028,0.0,0.12611838496457028,0.12611838496457028,0.15692554405247394,0.0,0.15692554405247394,0.15692554405247394,0.41566760634831196,0.0,0.41566760634831196,0.41566760634831196,0.41479614127698,0.0,0.41479614127698,0.41479614127698
engagement,groupkfold_subject_fold_3,hgb_reg,1,9717,12.7087984085083,0.09200199627707734,0.0,0.09200199627707734,0.09200199627707734,0.11562342506578774,0.0,0.11562342506578774,0.11562342506578774,0.20073154646939084,0.0,0.20073154646939084,0.20073154646939084,0.5197878416669743,0.0,0.5197878416669743,0.5197878416669743,0.4292697532571911,0.0,0.4292697532571911,0.4292697532571911
engagement,groupkfold_subject_fold_3,lgbm_reg,1,9717,10.345768451690674,0.09216441355305861,0.0,0.09216441355305861,0.09216441355305861,0.1161047606448454,0.0,0.1161047606448454,0.1161047606448454,0.1940630513462226,0.0,0.1940630513462226,0.1940630513462226,0.5219876535873255,0.0,0.5219876535873255,0.5219876535873255,0.4333602206064959,0.0,0.4333602206064959,0.4333602206064959
engagement,groupkfold_subject_fold_3,rf_reg,1,9717,449.1323459148407,0.08957066156333617,0.0,0.08957066156333617,0.08957066156333617,0.11262375215042908,0.0,0.11262375215042908,0.11262375215042908,0.24166518298278583,0.0,0.24166518298278583,0.24166518298278583,0.5166807197301087,0.0,0.5166807197301087,0.5166807197301087,0.41616580149146887,0.0,0.41616580149146887,0.41616580149146887
excitement,groupkfold_subject_fold_3,hgb_reg,1,10319,12.721638202667236,0.14399562234605665,0.0,0.14399562234605665,0.14399562234605665,0.18866781120973636,0.0,0.18866781120973636,0.18866781120973636,0.4049007017764933,0.0,0.4049007017764933,0.4049007017764933,0.6363787534253151,0.0,0.6363787534253151,0.6363787534253151,0.5793145417408222,0.0,0.5793145417408222,0.5793145417408222
excitement,groupkfold_subject_fold_3,lgbm_reg,1,10319,10.31719422340393,0.14379617159117444,0.0,0.14379617159117444,0.14379617159117444,0.18783623552586667,0.0,0.18783623552586667,0.18783623552586667,0.4101350817533921,0.0,0.4101350817533921,0.4101350817533921,0.6407381195216673,0.0,0.6407381195216673,0.6407381195216673,0.5796244779973968,0.0,0.5796244779973968,0.5796244779973968
excitement,groupkfold_subject_fold_3,rf_reg,1,10319,529.7113852500916,0.144701287921375,0.0,0.144701287921375,0.144701287921375,0.18885295822371562,0.0,0.18885295822371562,0.18885295822371562,0.4037321408041967,0.0,0.4037321408041967,0.4037321408041967,0.6404581146059027,0.0,0.6404581146059027,0.6404581146059027,0.5758990270878006,0.0,0.5758990270878006,0.5758990270878006
