target_name,target_col,validation,split_id,model,n_train,n_test,n_train_subjects,n_test_subjects,elapsed_s,mae,mse,rmse,r2,pearson,spearman
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_2,2,rf_reg,36392,8986,43,10,645.8494265079498,0.07357622802887205,0.01139774058992965,0.10676020133893364,0.15818290643849064,0.4105717783371157,0.3266536722251774
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_2,2,lgbm_reg,36392,8986,43,10,9.248192548751831,0.07258697711279673,0.010986978340617747,0.10481878810889653,0.18852108444247606,0.4470820849629674,0.36989852444989246
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_3,3,hgb_reg,36271,9107,42,11,11.433491468429565,0.11123976970542498,0.023548685577495076,0.1534558098525275,0.15894524542840693,0.4049940112687574,0.3305958334691074
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_3,3,rf_reg,36271,9107,42,11,598.2420265674591,0.11221313688350096,0.022624503579300004,0.15041443939761903,0.19195293331457386,0.4409730052982863,0.3131493437669466
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_3,3,lgbm_reg,36271,9107,42,11,9.244189262390137,0.11115985391950375,0.023651979299087512,0.15379200011407457,0.15525605116842078,0.4014718482161911,0.33953161436508633
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_4,4,hgb_reg,36322,9056,43,10,11.624336957931519,0.061498415863203836,0.007735119204325326,0.08794952645878956,0.2129406361026389,0.4946732313330104,0.3511687697515852
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_4,4,rf_reg,36322,9056,43,10,564.5938341617584,0.06336291588762241,0.007986083400220929,0.08936488907966555,0.18740467276904815,0.4759500193167893,0.32708136252559045
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_4,4,lgbm_reg,36322,9056,43,10,13.717549324035645,0.06128784183443494,0.007633530699413024,0.08737007897108154,0.2232774107461183,0.506794115689631,0.3860666954878629
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_5,5,hgb_reg,36272,9106,42,11,11.757254838943481,0.0983713727500069,0.02158642528564932,0.14692319519275818,-0.03443802604373891,0.3338096389855279,0.30763154489997097
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_5,5,rf_reg,36272,9106,42,11,584.1064741611481,0.09841174020206371,0.022096711012994246,0.14864962500118944,-0.05889130876785442,0.3427031026308293,0.3642797346428095
stress,PM.Stress.Scaled__mean,groupkfold_subject_fold_5,5,lgbm_reg,36272,9106,42,11,9.459255456924438,0.09868789999818327,0.02183708652387919,0.14777376805062253,-0.04644990448349895,0.339152900619486,0.3100458858427556
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_1,1,hgb_reg,36328,9060,43,10,12.01047134399414,0.11695508595690354,0.02209586474640689,0.14864677845956464,0.221360490576045,0.5042441500985063,0.4637322343437567
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_1,1,rf_reg,36328,9060,43,10,478.53585958480835,0.11218889586857721,0.020858736873699907,0.14442554093268928,0.2649558262171139,0.5252503715860176,0.48407236957593036
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_1,1,lgbm_reg,36328,9060,43,10,9.731250047683716,0.1172052320445729,0.02217076147210176,0.14889849385437637,0.21872119356631847,0.5056061269055794,0.4655469491315444
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_2,2,hgb_reg,36280,9108,42,11,12.087602138519287,0.10613627379674602,0.017830882402521668,0.1335323271815543,0.18997168375936357,0.4494060805158031,0.41443260147810185
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_2,2,rf_reg,36280,9108,42,11,465.9948296546936,0.10735642288028528,0.017998602034036214,0.1341588686372847,0.18235245058574268,0.4307511615733474,0.3792255768172929
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_2,2,lgbm_reg,36280,9108,42,11,9.623917818069458,0.10569258465795649,0.017771047540111714,0.13330809255297188,0.19268988534671583,0.4571421899009861,0.42090265355439577
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_3,3,hgb_reg,36262,9126,42,11,11.979106187820435,0.1335561246000298,0.026247116978241707,0.16200962001758323,0.2003716645117073,0.486411206094272,0.4687794570056369
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_3,3,rf_reg,36262,9126,42,11,459.2234275341034,0.13880966645856332,0.027719988958979667,0.16649320994857317,0.15550006313464293,0.43826813422790906,0.4249406339362181
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_3,3,lgbm_reg,36262,9126,42,11,9.620959281921387,0.13518869258484184,0.02692086931760339,0.16407580357140839,0.17984554493439364,0.4743117324336835,0.4615521626921438
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_4,4,hgb_reg,36401,8987,43,10,12.039704084396362,0.10783502928375426,0.018069427786471765,0.1344225717149905,0.2616305425345875,0.5316428550671696,0.5232090573940864
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_4,4,rf_reg,36401,8987,43,10,461.13746523857117,0.1112031246337991,0.0185372958504792,0.13615173833072863,0.24251209049123068,0.5370002243136187,0.5312003333790786
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_4,4,lgbm_reg,36401,8987,43,10,9.789294719696045,0.10728992085438568,0.017935963485777518,0.1339252160191557,0.2670842826562527,0.5343337839612263,0.5267347766661054
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_5,5,hgb_reg,36281,9107,42,11,12.09917163848877,0.11479218144868343,0.02197677173811771,0.14824564660764142,0.29683534643886533,0.5646771276642576,0.5177176098943748
relaxation,PM.Relaxation.Scaled__mean,groupkfold_subject_fold_5,5,rf_reg,36281,9107,42,11,469.87520122528076,0.11024060918289103,0.02059628982906816,0.14351407536917124,0.3410049858605003,0.5899394780326876,0.5358859821992796
